,댓글인덱스,추가일시,전체인덱스,채널명,채널인덱스,댓글내용,좋아요
113,114,13 12:00:05,91,영국남자,92,펭수나 유산슬과 합방하실  생각 있으신지요,3
114,115,13 12:00:05,91,영국남자,92,또 런닝맨에 올리랑 가비와함께 출연 기회가 온다면 출연하실 생각있으신지요,3
120,121,13 12:00:11,97,영국남자,98,우상이 누구예요,2
121,122,13 12:00:11,97,영국남자,98,이미 우상을 만나보셨나요,2
123,124,13 12:00:11,98,영국남자,99,혹시 한국어 이름이 있나요,2
124,125,13 12:00:11,98,영국남자,99,있으면 무엇인가요,2
125,126,13 12:00:11,98,영국남자,99,없다면 어떤 이름이 있으면 좋을것 같아요,2
126,127,13 12:00:11,98,영국남자,99,갑자기 궁금해졌어요,2
134,135,13 12:00:13,106,영국남자,107,거울에 흰 맨투맨은 손흥민인가욥,1
137,138,13 12:00:19,109,영국남자,110,Do you guys before any video prepare what to say and get jokes ready too Cause you guys in every video are so funny and fun  ★ 감사합니다,1
141,142,13 12:00:19,112,영국남자,113,현재 맨유에 대해 어떻게 생각하나요,1
142,143,13 12:00:25,113,영국남자,114,조쉬가 교환학생을 1년간 했다고 들었는데 그 가운데 느껴지는 외로움은 어떻게 이겨냈나요,1
144,145,13 12:00:25,114,영국남자,115,오늘 팬티색 뭔가요,1
145,146,13 12:00:26,115,영국남자,116,그 면도기로 머리밀수 있나요,1
146,147,13 12:00:26,116,영국남자,117,여러가지 영상들을 만들면서 팬들이 자기를 정말로 사랑해 준다고 느꼈던 순간은 ,1
147,148,13 12:00:26,117,영국남자,118,영국인들은 각자 응원하는 축구팀이 하나씩 있는 걸로 아는데 서로가 응원하는 축구팀 알려주세요,1
148,149,13 12:00:26,118,영국남자,119,아기는 어떻게 생겨요,1
152,153,13 12:00:38,122,영국남자,123,조쉬로 변신이네요,1
154,155,13 12:00:38,122,영국남자,123, 올리와 조쉬는 몇년지기 친구인가요,1
155,156,13 12:00:38,122,영국남자,123, 아기계획은 없으신건가요,1
156,157,13 12:00:38,122,영국남자,123, 유명인들은 어떻게 섭외하는건가요,1
157,158,13 12:00:38,122,영국남자,123, 외국과 한국중에 어디서 생활하는게 더 편하다고 느끼나요,1
161,162,13 12:00:38,122,영국남자,123, 다시 태어난다면 한국어를 배울생각인가요,1
162,163,13 12:00:38,122,영국남자,123, 조회수 최소와 최대였을때를 알려주세요,1
164,165,13 12:00:38,124,영국남자,125,조쉬는 무슨 치킨 좋아해요,1
165,166,13 12:00:38,125,영국남자,126,지금까지 유튜브에서 영화배우분들 한국음식사준거쓴돈이 얼마인지 궁금해요,1
167,168,13 12:00:44,127,영국남자,128,아인슈타인의 상대성이론이 좋나요,1
168,169,13 12:00:44,127,영국남자,128,뉴턴의 만유인력의 법칙이 좋나요,1
169,170,13 12:00:44,127,영국남자,128,치킨이 좋나요,1
170,171,13 12:00:50,128,영국남자,129,영국 음식 중에서 소개한 것 말고 다른 영국음식있나요,1
172,173,13 12:00:51,129,영국남자,130,영국남자는 언제까지 할 것인가요,1
173,174,13 12:00:51,130,영국남자,131, 중국에서 먹었던 음식 중 가장 맛있었던 것과 가장 맛없었던 것,1
174,175,13 12:00:51,130,영국남자,131, 한국에서 먹었던 음식 중 가장 맛있었던 것과 가장 맛없었던 것,1
175,176,13 12:00:51,131,영국남자,132,빤스 색깔 알려주세욤,1
179,180,13 12:00:52,135,영국남자,136,이것만큼은 뺏어오고 싶었던 한국 기술은 ,1
189,190,13 12:00:59,144,영국남자,145,조쉬와 올리 포함해서 영국남자 채널의 영상을 만들고 편집하는 사람은 총 몇 명인가요,1
192,193,13 12:00:59,147,영국남자,148,영국에서 한국 음식에 대한 현실적인 반응이 어떤지 궁금해요,1
193,194,13 12:01:00,148,영국남자,149,올리와 조쉬님이 각각 좋아하시는 한국음식 TOP3는 무엇인가요,1
201,202,13 12:01:06,154,영국남자,155,누구와 인터뷰해보고 싶은지 궁금해요,1
212,213,13 12:01:14,165,영국남자,166,한국에는 다양한 도시들이 있는데 조쉬님이 보시기에는 서울빼고 기억에 남는 도시들이 있으신가요,1
213,214,13 12:01:14,165,영국남자,166,한 3군대정도,1
223,224,13 12:01:32,175,영국남자,176,본인이 잘생기신거 알아요,1
228,229,13 12:01:33,180,영국남자,181,싱어송라이터 형님 근황이 궁금합니다,1
232,233,13 12:01:39,183,영국남자,184,지금까지 먹은 한국음식중 가장 매운건디진다 돈까스음식등 여러 방면에서 영국보다 한국이 낫다는데 한국보다 영국이 더 나은것은,1
233,234,13 12:01:45,184,영국남자,185,제가 전동 면도기를 하고 나면 피부 트러블이 생기는데 지금 쓰시고 계시는 새로 나온 질레트는 피부 트러블은 안나나요,1
235,236,13 12:01:45,184,영국남자,185,진짜로 피부 트러블 안나는지 궁금합니다,1
237,238,13 12:01:46,185,영국남자,186,면도기 모델이 였던 스포츠선수 박지성 손흥민 둘 중 더 좋아하는 선수는 ,1
238,239,13 12:01:46,186,영국남자,187,영상 촬영하고 업로드하면서 슬럼프나 크게 현타왔었던적 있나요,1
239,240,13 12:01:46,186,영국남자,187,있었다면 어떻게 극복하셨나요,1
242,243,13 12:01:46,188,영국남자,189,이 잘생김은,1
244,245,13 12:01:47,190,영국남자,191,인터뷰하신 분들 중에서 가장 독특했던 분이 누군인가요,1
251,252,13 12:01:54,197,영국남자,198,질레트인가요,1
253,254,13 12:01:54,199,영국남자,200,유튜브를 언제 까지 하실 건가요,1
254,255,13 12:01:54,199,영국남자,200,유튜브를 그만둘 생각이 있나요,1
255,256,13 12:01:54,200,영국남자,201,주제랑 상관없긴한데영국남자 팀끼리 혹시 지코ZICO님의 아무노래 챌린지 해주실수있나요,1
266,267,13 12:02:08,208,영국남자,209,조쉬님은 외화인도영화 같은 보실때 한글자막이 보기편한가요,0
267,268,13 12:02:08,208,영국남자,209,영어 자막이 보기 편한가요,0
268,269,13 12:02:08,208,영국남자,209,그 이유는 가독성 때문인가요,0
269,270,13 12:02:08,208,영국남자,209,아님 익숙해서 인가요,0
272,273,13 12:02:08,210,영국남자,211,우와촉감뭐예요,0
281,282,13 12:02:15,216,영국남자,217,두 사람이 가장 심각하게 싸웠던때는 그리고 그 이유는,0
282,283,13 12:02:15,217,영국남자,218,핸드폰이 아이폰 11프로 인데어디서 샀어요,0
283,284,13 12:02:15,218,영국남자,219,브리가 가장 좋아하는 간식이 뭐예요,0
284,285,13 12:02:16,219,영국남자,220,솔직히 광고 한번쯤은 문의 했으면 좋겠다,0
285,286,13 12:02:22,220,영국남자,221,한국 편의시설대중교통 화장실 등등에 대해서 많은 외국인들이 칭찬을 많이 하시는 것을 들은 적있지만 한편으로는 이런건 좀 개선이 필요하다고 생각나는거 있으신가여  저희는 익숙하지만 외국분들의 생각은 다를것 같애서 그렇습니다,0
289,290,13 12:02:34,224,영국남자,225,지금까지 비행기 타는데 쓴 돈이 궁금해요,0
292,293,13 12:02:34,227,영국남자,228,조쉬가 응원하는 축구팀이 어디에요,0
294,295,13 12:02:35,229,영국남자,230,올리가 듣고 가장 웃겼던 한국 이름은,0
297,298,13 12:02:35,232,영국남자,233,그 사건터지고나서 정준영씨랑 요즘도 연락하시나요,0
300,301,13 12:02:41,235,영국남자,236,면도하니 생각나는데 두분이선 수염을 길러서 관리해보신적 있나요,0
305,306,13 12:02:48,238,영국남자,239,혹시 두 사람의 아내가 질투하지는 않나요,0
307,308,13 12:02:48,240,영국남자,241,영국남자 채널에 피디가 있는 건가요,0
312,313,13 12:02:49,244,영국남자,245,저희집 리모컨을 잊어버렸는데  어디있나요,0
313,314,13 12:02:49,245,영국남자,246,질렛트 광고모델 되셨나요,0
314,315,13 12:02:49,246,영국남자,247,제일 좋아하는 영국 노래 한국 노래 알려주세요,0
317,318,13 12:02:56,249,영국남자,250,지금까지 방송찰영했던 게스트중에 제일 마음에들고 편했던 게스트는,0
318,319,13 12:02:56,250,영국남자,251,중국 유학했을때랑 한국에서 교환학생으로 있던 시절이 궁금해요,0
323,324,13 12:03:02,255,영국남자,256,꿈 꾸실때 한국어로 꾸나요,0
324,325,13 12:03:02,255,영국남자,256,외국어로 꾸나요,0
325,326,13 12:03:03,256,영국남자,257,조금 사적인 질문이지만 원래 올리랑 신부님하고 같이사셨던것같은데 올리가 이사간후에도 같이사나요,0
326,327,13 12:03:03,256,영국남자,257,아니면 이제 따로사나요,0
329,330,13 12:03:03,259,영국남자,260,이때 손흥민이랑 같이 촬영한건가,0
330,331,13 12:03:03,260,영국남자,261,올리는 언제 만났어요,0
331,332,13 12:03:04,261,영국남자,262,한국구독자들에게 영국을 소개시켜줄 생각은 없으신가요 ,0
332,333,13 12:03:04,262,영국남자,263,조쉬는 한국어 뿐만 아니라 다른 외국어 공부 어떻게 하시나요 ,0
333,334,13 12:03:04,262,영국남자,263,방법이 궁금해요 ,0
334,335,13 12:03:04,263,영국남자,264,혹시 올리 지오디 박준형님 한테 배우실 생각 없으신가요,0
335,336,13 12:03:10,264,영국남자,265,그 졸리영상중에서 예전에 조니랑 양꼬치 먹을때 조니가 올리한테 이름을 지어주며 아부카르판이라고했잖아요,0
336,337,13 12:03:10,264,영국남자,265,그게 한국어 번역으로 양들의아버지라는데 그게 어떤 의미가 담겨있는건가요,0
338,339,13 12:03:10,265,영국남자,266,리버풀 리그우승가능헐까요,0
341,342,13 12:03:10,267,영국남자,268,면도하고 이제 화장하시려고요,0
344,345,13 12:03:10,267,영국남자,268,전 존중합니다 ,0
347,348,13 12:03:11,270,영국남자,271,면도크림 어떻게 그 모양으로 바르나요,0
348,349,13 12:03:11,270,영국남자,271,그리고 그거 생크림 아닙니까,0
350,351,13 12:03:11,272,영국남자,273,영국남자 채널 운영하면서 가장 기뻤던 일이랑 가장 힘들었던 일이 궁금해요,0
351,352,13 12:03:11,273,영국남자,274,질레트인가요,0
352,353,13 12:03:11,273,영국남자,274,흥민선수추천,0
353,354,13 12:03:12,274,영국남자,275,우리나라의태권도같이영국특유의무술같은게있나요,0
357,358,13 12:03:18,278,영국남자,279,Who invented the Jolly intro sound   Bam X9졸리 처음 시작할때 나오는 음악은 누가 만든건가요,0
358,359,13 12:03:18,278,영국남자,279,따로 작곡하신건가요,0
360,361,13 12:03:18,279,영국남자,280,손흥민 선수 비하인드 영상에서 올리가 유재석님 언급했었는데 조쉬랑 올리도 한국 예능 프로그램을 본 적 있나요,0
361,362,13 12:03:18,280,영국남자,281,조쉬님 올해 팬미팅 계획 없나요,0
365,366,13 12:03:25,284,영국남자,285,I wanna know if Ollie gets “really” upset or sad when we hears “you’re an idiot” from Josh올리님이 “you’re an idiot”이라는 말 듣고 장난말구 진짜로’ 속상해하시는지 궁금해요,0
366,367,13 12:03:25,285,영국남자,286,유튜브를 하기 전에는 무슨 일을 했었어요 ,0
369,370,13 12:03:26,288,영국남자,289,제 눈에는 올리가 정말 잘생긴거 아시나요,0
372,373,13 12:03:32,291,영국남자,292,봄이되면설악산봉정암에서일박하고그유명한미여국을줄서서한그릇하고오세암으로내려와서용대리에서황태국은먹어보는건어떨까요,0
374,375,13 12:03:32,291,영국남자,292,봉정암을세번가면팔자가바뀐다는유명한속설이있습니다 ,0
384,385,13 12:03:45,300,영국남자,301,음식 먹는 콘텐츠를 하면서 조쉬or올리가 “와 이거 진짜 맛있네역시 이거 진짜 맛있네”했던 음식한국 영국 음식 all,0
388,389,13 12:03:45,300,영국남자,301,영국 사람들도 영국남자를 한국만큼 그렇게 좋아하나요,0
389,390,13 12:03:45,300,영국남자,301,실제 영국남자 인기업로드 중 일부가 외국인이 한국음식을 먹었을 때가 있어서’ 한국사람만큼 좋아할까 궁금증,0
390,391,13 12:03:45,300,영국남자,301,조쉬and올리가 콘텐츠하면서 가비님만큼 이 음식은 못해 무조건 해야돼’ or 가비님이 직접 하고싶다고 욕심냈던 음식은,0
392,393,13 12:03:45,300,영국남자,301,한국에서 일하는 직원은 필요없어요,0
393,394,13 12:03:45,300,영국남자,301,”유튜브 그만하고 싶다” 생각한 적 있어요,0
394,395,13 12:03:45,300,영국남자,301,요즘 유튜버는 다 조금 즐겁게 일한다는 생각이 많으니까조쉬  올리 보고있어요,0
395,396,13 12:03:45,300,영국남자,301,저의 질문들이 너무 신박하고 평범하면서도 재미있지요,0
397,398,13 12:03:45,300,영국남자,301,진나 진짜 7가지 질문 너무 궁금하고요,0
405,406,13 12:03:52,305,영국남자,306,올리는 자기가 잘생긴거 아나요,0
407,408,13 12:03:52,305,영국남자,306,올리의 시간은 거꾸로 간다,0
408,409,13 12:03:52,306,영국남자,307,올리와 조쉬가 가장 어려워하는 한국어 단어는,0
409,410,13 12:03:52,307,영국남자,308,돈 얼마나있음,0
412,413,13 12:03:58,309,영국남자,310, 한국에서 이것만큼은 아쉽다는점은 있나요,0
413,414,13 12:03:58,309,영국남자,310, 한국에서 산다면 살고싶은곳이있나요,0
414,415,13 12:03:58,309,영국남자,310, 유튜브를하기전에는 무엇을했던 사람인가요,0
415,416,13 12:03:58,309,영국남자,310,한국이름이있나요,0
416,417,13 12:03:58,309,영국남자,310,없다면 어떤이름으로 짓고싶나요,0
417,418,13 12:03:58,309,영국남자,310, 제일좋아하는 연예인은 있나요,0
418,419,13 12:03:58,309,영국남자,310,롤모델같은,0
420,421,13 12:03:59,311,영국남자,312,산타할아버지,0
423,424,13 12:03:59,312,영국남자,313,294729는 무엇인지 궁금합니다,0
428,429,13 12:04:06,316,영국남자,317,중국어하고 한국어 영어할 때 목소리 톤이 차이가 심한가요,0
429,430,13 12:04:06,316,영국남자,317,한국의 영어교육에 대해 어떻게 생각하시나요,0
430,431,13 12:04:06,317,영국남자,318,혹시 조쉬하고 올리 고향이 영국 어디에요,0
435,436,13 12:04:06,320,영국남자,321,주민등록증 받을 생각은 없으신지요 ,0
438,439,13 12:04:07,323,영국남자,324,배우나 유명한 사람들은 어떻게 섭외 하나요,0
439,440,13 12:04:07,324,영국남자,325,왜 잘생겼나요,0
441,442,13 12:04:08,326,영국남자,327,광고비 개꿀,0
443,444,13 12:04:08,328,영국남자,329,명이나물을 특히 좋아하는 이유는,0
444,445,13 12:04:14,329,영국남자,330,너는 몇년 동안 한국어로 말하는 있었습니까,0
446,447,13 12:04:14,330,영국남자,331,방송을 처음했을때 기분이 어때나요,0
447,448,13 12:04:15,331,영국남자,332,자신이 어떤 영상으로 뜬것 같나요,0
448,449,13 12:04:15,332,영국남자,333,남은 인생동안 살고 싶은 나라와 구체적 도시명 그리고 그 이유,0
451,452,13 12:04:15,335,영국남자,336,저 엉당이는 누구 엉덩이 인가요,0
452,453,13 12:04:16,336,영국남자,337,몇일기른 수염 깎는거에요,0
454,455,13 12:04:16,338,영국남자,339,영국사람들은 미국 영어가 어떻게 들리나요,0
456,457,13 12:04:16,338,영국남자,339,거나 그런 느낌인가요,0
457,458,13 12:04:16,338,영국남자,339,잘 못 알아들을 때도 있나요,0
459,460,13 12:04:16,340,영국남자,341,팬미팅 할 생각은 없으신가요,0
462,463,13 12:04:17,342,영국남자,343,조쉬님 키가 몇인가요 ,0
463,464,13 12:04:17,343,영국남자,344,지금까지 촬영하면서 제일 고생 많았던 에피소드는,0
469,470,13 12:04:23,345,영국남자,346,Nct 마크 재현이 영국남자의 kpop 최애인가요,0
470,471,13 12:04:23,346,영국남자,347,운전할때 영국은 좌측통행인데 한국은 우측통행이라 헷갈리지 않나요,0
471,472,13 12:04:23,347,영국남자,348,올리가 조쉬에게 한국식 이름을 지어준다면,0
475,476,13 12:04:30,350,영국남자,351,지금까지 나왔던 게스트들 중에 가장 만나고 싶었던 분은 누구신가요,0
484,485,13 12:04:37,359,영국남자,360,초창기부터 지금까지 가장 기억에 남거나 BEST Video는 무엇인가요,0
485,486,13 12:04:37,359,영국남자,360,반대로 가장 힘들었거나 WORST Video는요,0
487,488,13 12:04:37,361,영국남자,362,지금까지 인터뷰한 여러 분들 중에서 가장 호응이 좋고 배려해 주셨던 분은,0
490,491,13 12:04:44,364,영국남자,365,유명한 영화 배우들은 어떻게 섭외하는 건가요,0
491,492,13 12:04:44,365,영국남자,366,아무나  인터뷰 할수 있다면  누구랑 하실거 에요,0
492,493,13 12:04:44,366,영국남자,367,학교다닐 때 좋아했던 과목은요,0
493,494,13 12:04:45,367,영국남자,368,미친 남자 김치죠니 언제 나와요,0
498,499,13 12:04:51,372,영국남자,373,가비씨  레스토랑 개업안하나요,0
499,500,13 12:04:51,372,영국남자,373,솜씨가 너무 아까운거 아닌가요,0
501,502,13 12:04:52,374,영국남자,375,올리는왜스니커즈를 그렇게좋아하나요,0
503,504,13 12:04:52,375,영국남자,376,올리는 아내분과 어떻게 만나게 되었나요,0
504,505,13 12:04:52,375,영국남자,376,전부터 궁금했어요,0
505,506,13 12:04:52,376,영국남자,377,조쉬와 올리가 조엘처럼 한국이름을 만든다면,0
507,508,13 12:04:53,378,영국남자,379,비정상회담 멤버들중 친한 사람이 있는지 있다면 어떻게 친해졌는지요,0
516,517,13 12:05:00,387,영국남자,388,왜 그렇게 잘생기신거죠,0
520,521,13 12:05:06,391,영국남자,392,Harry  Meghan 일에 대해 어떻게 생각하나요,0
527,528,13 12:05:25,398,영국남자,399,Juno 비디오를 더 가질 수 있습니까,0
528,529,13 12:05:25,398,영국남자,399,더 유쾌한 한국어 레슨Can we have more Juno videosAlso more Jolly Korean lessons,0
530,531,13 12:05:26,400,영국남자,401,지금 가장 먹고싶은 음식음료포함 딱한가지눈,0
541,542,13 12:05:39,411,영국남자,412,한국에대해 잘 모르는 외국인이 한국에대해 반드시 알아야 할 것들에대해 알려주세요,0
543,544,13 12:05:40,413,영국남자,414,한국의 음식점이라고 나오는게 한우 한정식 이삭 등 한정적이던데 사칠음식 시절음식등 새로운 음식점이 또 도전할 예정이 있나요,0
547,548,13 12:05:46,415,영국남자,416,좋은점은 굉장히 많을텐데 그러면 싫은점은 뭐에요,0
548,549,13 12:05:51,416,영국남자,417,조쉬와 올리는 친한 친구지만 혹시 동영상 만들면서 서로 생각이 달라서 다툰적은 없나요,0
553,554,13 12:05:52,418,영국남자,419,정기적으로 수염제모한다고 봤었는데 면도기 모델이 된 소감은,0
560,561,13 12:05:53,424,영국남자,425,가장 힘들었던 촬영은,0
561,562,13 12:05:53,425,영국남자,426,한국에서 인종차별 당한적 있나여,0
563,564,13 12:05:54,427,영국남자,428,본인이 잘생긴 걸 아는지 궁금해영,0
564,565,13 12:05:54,428,영국남자,429,한국의 팬들에게 소개하고 싶은 영국의 문화 5가지를 뽑으면,0
565,566,13 12:05:54,429,영국남자,430,찍먹 VS 부먹당신의 선택은,0
570,571,13 12:06:01,433,영국남자,434,저 완전 궁금했던거 있어요,0
571,572,13 12:06:01,433,영국남자,434,다른 외국인들 말들어보면 한국 바로 위에 북한이 있어서 걱정됐다고 하는데 조쉬는 북한이 무섭거나 그러지 않았나요,0
572,573,13 12:06:01,433,영국남자,434,걱정된다든가궁금해요,0
580,581,13 12:06:14,441,영국남자,442,손흥민 촬영할때 조쉬와 올리 그리고 주변 스텝들 반응 어땠나요,0
581,582,13 12:06:14,441,영국남자,442,우리 시청자들처럼 떨리는 느낌으로 좋아했나요,0
582,583,13 12:06:14,441,영국남자,442,너무 궁금합니다,0
586,587,13 12:06:14,443,영국남자,444,나중에 기회가 된다면 한국에서 거주하실 의향도 있으실까요,0
589,590,13 12:06:14,446,영국남자,447,면도기 뭐 쓰시나요,0
590,591,13 12:06:15,447,영국남자,448,와 이거 왜 이랗게 좋아요,0
594,595,13 12:06:15,449,영국남자,450,조니의 근황이 궁금해요,0
601,602,13 12:06:23,456,영국남자,457,올리와 조쉬는 어떻게 친해졌나용,0
602,603,13 12:06:29,457,영국남자,458,한국에 관해 늘 너무 좋은 말만 하시는데 한국인들이 안했으면 하는 행동들 or 살망스러웠던 순간들은 언제인가요,0
604,605,13 12:06:29,458,영국남자,459,올리의 머리크기 알려주세요,0
605,606,13 12:06:29,458,영국남자,459,정말 궁금해요,0
611,612,13 12:06:30,464,영국남자,465,영상 만드는 일을 직업으로 삼은 우리 올리가 가장 좋아하는 영화가 뭔지 궁금해요,0
624,625,13 12:06:38,476,영국남자,477,만났던 사람들중에 제일 영광이였던 사람은,0
626,627,13 12:06:38,478,영국남자,479,만약 조쉬나 올리가 한국이름을 갖게된다면 어떤이름으로 하고싶은지,0
627,628,13 12:06:38,478,영국남자,479,궁금해yo,0
629,630,13 12:06:39,480,영국남자,481,올리가 여자였다면 올리와 결혼했을 것 같나요,0
634,635,13 12:06:45,483,영국남자,484,영국남자 ,0
635,636,13 12:06:46,484,영국남자,485,조쉬가 한국이름을 가진다면,0
641,642,13 12:06:52,490,영국남자,491,뒤에 흥민쨩인가요,0
643,644,13 12:06:53,492,영국남자,493,조쉬가 유튜브를 시작하게된 계기는,0
645,646,13 12:06:53,494,영국남자,495,본인이 이렇게 많은 분들의 사랑을 받을 거라는걸 알고 있었나요,0
655,656,13 12:06:55,503,영국남자,504,아이사진 너무 귀엽고 깜찍한데,0
659,660,13 12:06:56,507,영국남자,508,한국이나 해외 유명한 분들 인터뷰할때 외국을 자주 나가시는것 같던데 영국한국 시차만 해도 어마어마한데 그런 시차적응을 어떻게 하시나요,0
660,661,13 12:06:56,507,영국남자,508,팁이 있다면 알려주세요,0
665,666,13 12:06:57,512,영국남자,513,조쉬는 무슨 게임 하나요,0
668,669,13 12:07:04,515,영국남자,516,생각보다 반응이 없었던 영상 예상외로 반응이 좋았던 영상이 궁금합니다,0
669,670,13 12:07:04,515,영국남자,516,그리고 기획과정에서 엎어진 시리즈나 에피소드 있는지 궁금해요,0
670,671,13 12:07:04,516,영국남자,517,아내의맛에서 짤렸나요,0
672,673,13 12:07:10,518,영국남자,519,한국에 오시면 방송에 소개안된 지역의 숨은 고수의 음식점 탐방여행기 어떨까요,0
